Data,PubblicitÃ  (minuti),Durata annunci (secondi) per ora,Spettatori medi,Messaggi chat,Utenti chat,Visualizzazioni clip,Clip create,Segue,Spettatori Raid e Host (%),Visualizzazioni live,Spettatori max,Minuti visti,Minuti di streaming,Spettatori unici,Entrate degli abbonamenti,Ricavi Prime,Entrate degli abbonamenti in regalo,Ricavi bit,Entrate pubblicitÃ ,Ricavi dalla vendita di giochi,Entrate dalle estensioni,Ricavi promozioni,Abbonamenti Prime,Abbonamenti paganti in totale,Abbonati Liv. 1,Abbonamenti regalo in totale,Abbonamenti Liv. 1 in regalo,Categoria
Sat May 26 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sun May 27 2018,0,0,1.5,0,0,0,0,1,0,17,3,220,163,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mon May 28 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tue May 29 2018,0,0,0.08,0,0,0,0,0,0,1,1,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wed May 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thu May 31 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fri Jun 01 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sat Jun 02 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sun Jun 03 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mon Jun 04 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tue Jun 05 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wed Jun 06 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thu Jun 07 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fri Jun 08 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sat Jun 09 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sun Jun 10 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mon Jun 11 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
